1.4: Copy to Dataset Results,,,,,
Trial Name,Trace No. (T0S1),Start of Trace (Trial) (T0S1) (s),Baseline (T0S1R1) (mV),Antipeak Amp (T0S1R1) (mV),Time of Antipeak (Trace) (T0S1R1) (ms)
63964-T419-CA1-0049.abf,4,21.0211,-61.1092,-0.109066,1063.8
63965-T420-CA1-0005.abf,4,21.0211,-61.4774,-0.351224,1312.9
63965-T421-CA1-0017.abf,4,21.0211,-61.2145,-0.919294,1313.8
63965-T422-SUB-0033.abf,4,21.0211,-59.9937,0.219933,1386.7
63965-T423-SUB-0044.abf,4,21.0211,-60.2906,0.404973,1273.4
63965-T424-CA1-0054.abf,4,21.0211,-60.7445,0.360432,1285.5
63966-T425-SUB-0008.abf,4,21.0211,-59.5231,0.00362345,1252.4
63966-T426-CA1-0021.abf,4,21.0211,-60.26,0.618454,1365.6
63966-T427-SUB-0036.abf,4,21.0211,-59.8901,0.167234,1152.9
63966-T428-CA1-0047.abf,4,21.0211,-60.6105,-3.01868,480.8
63966-T429-SUB-0057.abf,4,21.0211,-59.9057,0.18276,1311.2
63967-T430-SUB-0005.abf,4,21.0211,-60.4964,0.183485,1339
63967-T431-SUB-0018.abf,4,21.0211,-60.582,0.0351234,1372.5
63967-T432-CA1-0033.abf,4,21.0211,-60.2029,0.0222565,1140.5
63967-T433-SUB-0048.abf,4,21.0211,-60.2373,-0.187462,1085.5
63967-T434-CA1-0072.abf,4,21.0211,-59.9004,-0.147996,1343.1
63968-T435-CA1-0005.abf,4,21.0211,-61.7476,0.24448,1162.7
63968-T436-CA1-0016.abf,4,21.0211,-61.205,-0.0844571,1227.9
63968-T437-SUB-0031.abf,4,21.0211,-60.3214,0.0695186,1389.5
63968-T438-SUB-0043.abf,4,21.0211,-60.3616,-0.073339,1336.6
63968-T439-SUB-0053.abf,4,21.0211,-60.6616,-2.02154,481.2
63969-T440-CA1-0005.abf,4,21.0211,-60.2696,-0.0127461,1216.8
63969-T441-SUB-0018.abf,4,21.0211,-60.6168,0.20212,1350.4
63969-T442-SUB-0032.abf,4,21.0211,-60.4299,-0.625622,1225.2
63969-T443-CA1-0044.abf,4,21.0211,-60.1542,0.207481,1080.8
63970-T445-CA1-0005.abf,4,21.0211,-60.536,-0.468663,930.8
63970-T446-SUB-0015.abf,4,21.0211,-60.1288,-0.0824224,466.3
63970-T447-SUB-0025.abf,4,21.0211,-60.471,-0.228442,616.7
63970-T448-CA1-0035.abf,4,21.0211,-60.9535,0.0913227,1033.5
